UID 微博数 关注数 粉丝数
6524936121 2 113 2
5823145052 117 152 114
7031605347 8 31 10
6564593815 262 1919 441
5868367314 5 378 6
5261625104 6070 1594 426
6002047724 89 94 5
5646921587 392 260 29
2384935430 210 359 251
6643401510 4 91 7
5516751666 1 79 7
6116592855 3 217 10
6018555097 0 24 2
7031554557 4 63 27
6860122253 25 21 49
5988717880 0 74 5
6300892638 21 185 8
5784284497 195 457 753
5662959485 7 215 53
5088958232 482 364 26
6518669884 12 26 3
6786936777 8 16 2
5553515345 132 205 24
6738968214 0 20 2
6390374268 1 71 7
5682766423 1362 1306 91
6942082692 10 189 135
5923246145 6356 602 331
7017092098 1 33 2
2817010097 1897 669 90
5149051345 516 188 86
5657108647 39 386 82
6667250273 177 2801 4
6994477763 2 66 2
6660597935 185 2905 13
6600225378 151 2728 22
6938209372 4 80 1
6733940689 324 1633 8
6646914833 92 1185 28
6899102041 128 1607 2
6991321491 4 96 1
6753406882 28 439 4
6602733037 277 4515 15
6668355191 220 3454 13
6601391034 120 1911 11
6646859668 122 1663 39
6664933677 226 3751 18
6600697935 128 2263 14
7029295496 1 52 1
6724345769 72 1051 25
6827103130 168 2441 11
6899160105 88 1216 10
6666761993 240 3823 27
6621820191 198 3042 15
6600311291 203 3383 13
6815461796 114 1767 2
6741391918 118 1848 12
6925443183 3 84 1
6857292835 84 786 9
6559872584 199 3153 27
6629222325 302 4576 20
6601700168 220 3583 13
6603295921 241 3945 37
6992130349 3 82 1
7026174412 2 60 1
6594266910 192 3331 18
6599110348 227 3626 18
6670495803 105 1761 2
6599481128 279 4558 32
6599244266 99 1672 11
6915934158 10 178 1
6608467859 157 2574 16
6596041109 193 3180 12
6639122416 127 1717 28
6600407603 180 2980 19
6604604843 173 2770 12
6845917733 102 1485 1
6827053110 167 2405 18
6642741005 270 857 12
6734488280 67 1022 2
6670482636 118 1868 8
6599718978 96 1621 11
6899101832 127 1599 7
6577368560 209 3315 29
6664894714 223 3723 17
6859801869 114 1147 5
6753406595 28 433 2
6580806208 175 2968 18
6608434808 171 2708 7
6668463533 211 3384 20
6915725526 11 164 1
6553824993 297 4700 25
6912344383 11 214 3
6741719458 143 2208 19
6581467198 202 3227 17
6599717435 96 1625 8
6928628016 3 83 1
6598795153 263 4268 31
6603280325 241 3958 23
7028259056 2 89 1
6764725966 297 353 45
6559833751 281 4383 24
6768367761 920 1091 139
6645021518 172 1417 34
6602721746 240 3883 14
6666761866 235 3736 15
6580444586 219 3376 28
6767088829 436 1543 159
6667126839 202 3133 18
6668612492 208 3317 17
6668354119 237 3789 32
6630003679 234 3790 15
6856791997 85 848 6
6646030183 562 1917 162
6977170360 3 75 1
6602076542 130 2316 7
6582354324 262 4191 22
6815330053 100 1504 2
6660593183 137 2059 9
6558340153 239 3864 20
6629469221 301 4619 31
6769494263 959 1244 114
6768055135 366 471 33
6602235576 277 4462 27
6669329803 117 2032 12
6600676538 147 2693 5
6604803695 175 2829 14
6662025010 185 2894 10
6936480871 2 69 1
6924425593 3 84 1
6637484937 106 1376 11
6743758526 243 2451 17
6600821240 196 3275 16
6638279034 109 1527 45
6919564512 6 120 1
6668634674 220 3485 14
6936480690 2 73 1
6965215354 3 84 1
6998551125 3 91 4
